start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_d1,sunset_time,hours_after_sunset_d1,season,date_d1,key_time,time,month_d2,hours_after_sunset_d2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,date_d2,merge_time,hours_after_sunset,rat_influence,risk_reward_ratio,season_0_x_rat_arrival,season_1_x_rat_arrival,rat_influence_log,risk_reward_ratio_log
,,,,,,,,,,,0,,2017-12-27 01:13:00,2017-12-27 01:13:00,0,8.5,16.0,0.0,0.5104166668750001,1.0,12/27/2017,2017-12-27 01:13:00,8.5,6.683333333,0.0,1.0,0.0,2.0390534807311638,0.0
2017-12-27 01:35:00,2.0,rat_and_no_food,2017-12-27 01:34:00,2017-12-27 01:41:00,37.0,1.0,0.0,0,2017-12-26 16:43:00,9.0,0,12/27/2017,2017-12-27 01:35:00,,,,,,,,,2017-12-27 01:35:00,,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 01:43:00,2017-12-27 01:43:00,0,9.0,13.0,0.0,0.016666667,1.0,12/27/2017,2017-12-27 01:43:00,9.0,0.016666667,0.0,1.0,0.0,0.016529302279079415,0.0
,,,,,,,,,,,0,,2017-12-27 02:13:00,2017-12-27 02:13:00,0,9.5,17.0,0.0,0.0,0.0,12/27/2017,2017-12-27 02:13:00,9.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 02:43:00,2017-12-27 02:43:00,0,10.0,15.0,0.0,0.0,0.0,12/27/2017,2017-12-27 02:43:00,10.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 03:13:00,2017-12-27 03:13:00,0,10.5,14.0,0.0,0.0,0.0,12/27/2017,2017-12-27 03:13:00,10.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 03:43:00,2017-12-27 03:43:00,0,11.0,13.0,0.0,0.0,0.0,12/27/2017,2017-12-27 03:43:00,11.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 16:13:00,2017-12-27 16:13:00,0,-0.5,13.0,4.0,0.0,0.0,12/27/2017,2017-12-27 16:13:00,-0.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 16:43:00,2017-12-27 16:43:00,0,0.0,18.0,4.0,0.0,0.0,12/27/2017,2017-12-27 16:43:00,0.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 17:13:00,2017-12-27 17:13:00,0,0.5,31.0,4.0,0.0,0.0,12/27/2017,2017-12-27 17:13:00,0.5,0.0,,0.0,0.0,0.0,
