model,aic,bic,r2,r2_adj
model1,19657.06391170787,19668.389787408796,0.02639318110879907,0.025935228701042146
model2,19604.5660991852,19638.543726287968,0.05368251339925345,0.05145273609812073
model3,4869.839468150963,4908.628732655001,0.20930375319282746,0.1976113872511318
