start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
1/28/2018 20:05,1,fast,1/28/2018 19:56,1/28/2018 20:10,551,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:05,0.034803066,fast,1/28/2018 19:56,1/28/2018 20:10,569,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:05,1,rat,1/28/2018 19:56,1/28/2018 20:10,583,1,0,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:05,1,fast,1/28/2018 19:56,1/28/2018 20:10,589,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:06,2,fast,1/28/2018 19:56,1/28/2018 20:10,627,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:06,1,fast,1/28/2018 19:56,1/28/2018 20:10,631,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:06,4,fast,1/28/2018 19:56,1/28/2018 20:10,642,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:08,4,pick,1/28/2018 19:56,1/28/2018 20:10,720,0,1,1,1/28/2018 17:10,3,0,1/28/2018
1/28/2018 20:09,3,rat,1/28/2018 19:56,1/28/2018 20:10,824,1,0,1,1/28/2018 17:10,3,0,1/28/2018
1/29/2018 1:32,22,pick,1/29/2018 1:29,1/29/2018 1:33,225,0,1,1,1/28/2018 17:10,8.5,0,1/29/2018
1/28/2018 19:58,1,rat,1/28/2018 19:56,1/28/2018 20:10,162,1,0,1,1/28/2018 17:10,3,0,1/28/2018
2/20/2018 1:49,2,rat,2/20/2018 1:47,2/20/2018 1:50,151,1,0,2,2/19/2018 17:30,8.5,0,2/20/2018
2/20/2018 3:10,1,rat,2/20/2018 3:10,2/20/2018 3:11,17,1,0,2,2/19/2018 17:30,9.5,0,2/20/2018
2/20/2018 2:12,3,bat,2/20/2018 2:10,2/20/2018 2:13,116,1,0,2,2/19/2018 17:30,8.5,0,2/20/2018
2/10/2018 0:43,4,rat,2/10/2018 0:43,2/10/2018 0:45,22,1,0,2,2/09/2018 17:21,7.5,0,2/10/2018
